p.value	estimate	method	df.df	taxonomy	index	qval
1.81569230246848e-05	-0.651787691033025	Welch Two Sample t-test	3.48254422612992	Homo sapiens	16	0.00540226045714444
1.89271471642256e-05	-0.791305553420377	Welch Two Sample t-test	3.35182089107823	Homo sapiens	17	0.00540226045714444
1.94131938967059e-05	1.32699743603109	Welch Two Sample t-test	3.36165515209789	Escherichia coli (strain K12)	18	0.00540226045714444
2.17079321633516e-05	1.26794898862168	Welch Two Sample t-test	3.66366741514946	Escherichia coli (strain K12)	19	0.00544774676663435
2.18866253290501e-05	0.942350201649014	Welch Two Sample t-test	3.97600860113782	Escherichia coli (strain K12)	20	0.00544774676663435
2.4421214229052e-05	1.30890152918871	Welch Two Sample t-test	3.27828159743476	Escherichia coli (strain K12)	21	0.00544774676663435
2.44599367513798e-05	-0.501903542842026	Welch Two Sample t-test	3.99596722694926	Homo sapiens	22	0.00544774676663435
2.54964576783858e-05	1.13611896376463	Welch Two Sample t-test	3.85495173142393	Escherichia coli (strain K12)	23	0.00544774676663435
2.83475295121761e-05	1.52240236261057	Welch Two Sample t-test	3.70692620159628	Escherichia coli (strain K12)	24	0.00544774676663435
2.86042147672569e-05	1.76386424422309	Welch Two Sample t-test	3.87349067600094	Escherichia coli (strain K12)	25	0.00544774676663435
3.02584229037239e-05	1.231184392593	Welch Two Sample t-test	2.33033231833786	Escherichia coli (strain K12)	26	0.00544774676663435
3.35319591849326e-05	1.32920823294078	Welch Two Sample t-test	3.64955661699298	Escherichia coli (strain K12)	27	0.00544774676663435
3.49863905791111e-05	-0.931295501881981	Welch Two Sample t-test	3.80543198573322	Homo sapiens	28	0.00544774676663435
3.55462296292575e-05	1.44580141219631	Welch Two Sample t-test	3.93927900364595	Escherichia coli (strain K12)	29	0.00544774676663435
