	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
A0A0J9YXZ5, P46940		-0.24659937424051592	-0.10511629934369626	0.00034708701045698005	-0.1788446483181252	4.0	0.03615679940800015
A2A274, Q99798		-0.06555859749782766	0.039762939446286394	0.00023407895201305024	-0.013094813497503764	4.0	0.026881657132853804
D3YTB1, F8W727, P62910		-0.3089727184429154	-0.05436202054789807	0.0006711468844506118	-0.18197602606408544	4.0	0.06472195546921607
E7EQR4, P15311		-0.24228047283031695	-0.05594293664954786	0.0004911996681764639	-0.14235999840376568	4.0	0.047909768782225436
E9PB61, Q86V81		-0.28736208221119797	-0.03907599267680584	0.0006871349132036697	-0.1591159336997738	4.0	0.06357116963865896
E9PQD7, H0YEN5, P15880		-0.23884143971463212	-0.13479613984157524	0.00028001144809921955	-0.18785650525110115	4.0	0.02678411598001696
F5GX11, P25786		-0.21484737231344453	-0.0692500803750884	0.00036096397952196387	-0.13834665112381944	4.0	0.037173927726059236
H0Y8E6, P49736		-0.21911222731513114	-0.04838950123030572	0.0004276729555507213	-0.13401630076656587	4.0	0.043511267641748536
H0YGX7, P52566		-0.012506294832623777	0.22688172455882238	0.0005674786298167437	0.1041221291397548	4.0	0.0608670332318032
J3KQ32, Q9NTK5		-0.1425481182569288	0.01842543505542915	0.00043484443910432255	-0.0641955884491474	4.0	0.040987605861125515
J3QRS3, O14950, P19105		-0.27580965880048613	-0.08376640498212784	0.0004961682545062396	-0.17933931843038609	4.0	0.049388457534710134
O43707		-0.3730786349925632	-0.18714522969240788	0.00045831390817702904	-0.27761141222565594	4.0	0.04767979636505775
P00492		-0.2670869368017843	-0.13912192222866415	0.000352701131289455	-0.20289335232073707	4.0	0.03286268246252234
P02792		0.4118104099100516	0.5775837822488152	0.0004170300521356826	0.4966405472723504	4.0	0.04259870274414287
P04406		-1.448905702095331	-0.7696402152076961	0.0019481861176391206	-1.0902366703773456	4.0	0.17418689307442434
P07305		-0.03352967474272295	0.07265542818722093	0.0002728919653591752	0.020396001348775485	4.0	0.027042686580904245
P08574		-0.2626457142513583	-0.07400869127933096	0.0004467665424494143	-0.16591700961057712	4.0	0.0483070510084906
P17655		-0.117309441947411	0.02481035101373208	0.0003059180527743901	-0.045282130411159596	4.0	0.03662415178170932
P21796		-0.16036830355668497	-0.027968912310865512	0.00039126925580600916	-0.09444381158180093	4.0	0.0338470817775901
P25705		-0.42791143716887414	-0.2504320101218265	0.00046269603263645443	-0.34043838297019297	4.0	0.04557178854124893
P27797		-0.23800972015570676	-0.10562660538387858	0.0003389214112048745	-0.17430909229593827	4.0	0.03383283558481731
P27824		-0.2481710210186221	-0.09375042835906167	0.00040799424683193636	-0.1707103250965146	4.0	0.03965997917303999
P31948		-0.2212194081243053	-0.060948087078382285	0.00038352489286992757	-0.13669178186952186	4.0	0.04101346208157295
P33993		-0.21170459758786597	-0.08906867809534424	0.00028634783974258997	-0.15041487692830774	4.0	0.031867461475988776
P36222		-0.13920239368810372	-0.0014550038979177504	0.00039810302877040584	-0.0669559015588899	4.0	0.03562178682748383
P38117		-0.18477136026095242	-0.04670443850973971	0.0003639020256385586	-0.11348959655779751	4.0	0.03516706919630016
P38606		-0.023069014881578864	0.2426687863470549	0.000653369726925337	0.10390642309165132	4.0	0.06758899192042082
P40926		0.03571562352264657	0.2796953099133366	0.0006218348267160312	0.15821663432160996	4.0	0.0628832136635087
P62424, Q5T8U3		-0.2820962178720092	-0.10856542081724474	0.0004740455392819122	-0.19541422386502205	4.0	0.044483778666837594
Q92522		-0.13950660791203773	0.022034202112403145	0.00038487972382408956	-0.06001350704751635	4.0	0.04124183170446663
Q96PK6		-0.17981463525104835	0.0011881475439563527	0.0004353519399924174	-0.09022176221209093	4.0	0.04594831113565331
Q9HB71		-0.2752961643804104	-0.11122402220272809	0.0004143711697301526	-0.1928881154456271	4.0	0.04193213067246696
Q9UMX5		-0.08954356932339635	0.061124196170817324	0.0004041834077245646	-0.015176673552769322	4.0	0.03841005241525281
Q9UQ80		-0.0649427126012152	0.08559396286550314	0.00037176846303183555	0.010501749214665967	4.0	0.037870721663476714
A0A0A0MT22, P08575, X6R433		-0.10874126946435192	0.022072960762182126	0.0003006068577558941	-0.04142621107675334	5.0	0.033387301795909444
